Model,Run,Formula,Formula_Name,Mechanical_Safety,Swelling_Performance,Endothelialization,SMC_inhibition,Anti_inflammation,Thrombogenicity,Total_Score,Winner
gpt-5,0,1,Formula 1 (Gel + GelMA),6.0,7.0,8.0,5.0,6.0,5.0,37.0,5.0
gpt-5,0,2,Formula 2 (PAM + Gel),8.0,7.0,7.0,6.0,6.0,6.0,40.0,5.0
gpt-5,0,3,Formula 3 (Chitosan + GelMA),7.0,6.0,7.0,5.0,4.0,3.0,32.0,5.0
gpt-5,0,4,Formula 4 (GelMA + Silk Fibroin),9.0,6.0,8.0,6.0,7.0,6.0,42.0,5.0
gpt-5,0,5,Formula 5 (GelMA + PEG),8.0,8.0,8.0,8.0,8.0,8.0,48.0,5.0
gpt-5,0,6,Formula 6 (Starch + GelMA),6.0,6.0,7.0,6.0,6.0,7.0,38.0,5.0
gpt-5,0,7,Formula 7 (Chitin + GelMA),8.0,6.0,7.0,5.0,3.0,3.0,32.0,5.0
gpt-5,0,8,Formula 8 (GelMA + Cellulose),9.0,7.0,8.0,7.0,8.0,8.0,47.0,5.0
gpt-5,0,9,Formula 9 (PAM + PVA),9.0,7.0,4.0,8.0,8.0,8.0,44.0,5.0
gpt-5,0,10,Formula 10 (PAM + PEG),8.0,8.0,4.0,8.0,8.0,8.0,44.0,5.0
gpt-5,1,1,Formula 1,8.0,7.0,9.0,6.0,7.0,6.0,43.0,5.0
gpt-5,1,2,Formula 2,8.0,7.0,8.0,7.0,7.0,6.0,43.0,5.0
gpt-5,1,3,Formula 3,8.0,6.0,7.0,6.0,5.0,4.0,36.0,5.0
gpt-5,1,4,Formula 4,8.0,6.0,9.0,5.0,8.0,6.0,42.0,5.0
gpt-5,1,5,Formula 5,9.0,8.0,8.0,8.0,9.0,8.0,50.0,5.0
gpt-5,1,6,Formula 6,7.0,6.0,8.0,6.0,7.0,6.0,40.0,5.0
gpt-5,1,7,Formula 7,7.0,5.0,7.0,6.0,4.0,4.0,33.0,5.0
gpt-5,1,8,Formula 8,8.0,7.0,8.0,6.0,6.0,6.0,41.0,5.0
gpt-5,1,9,Formula 9,8.0,8.0,4.0,8.0,7.0,8.0,43.0,5.0
gpt-5,1,10,Formula 10,8.0,9.0,3.0,9.0,8.0,9.0,46.0,5.0
gpt-5,2,1,Formula 1,8.0,8.0,9.0,5.0,7.0,4.0,41.0,5.0
gpt-5,2,2,Formula 2,9.0,6.0,7.0,6.0,6.0,5.0,39.0,5.0
gpt-5,2,3,Formula 3,7.0,7.0,8.0,4.0,4.0,3.0,33.0,5.0
gpt-5,2,4,Formula 4,8.0,6.0,8.0,4.0,6.0,5.0,37.0,5.0
gpt-5,2,5,Formula 5,9.0,9.0,8.0,8.0,8.0,8.0,50.0,5.0
gpt-5,2,6,Formula 6,6.0,6.0,7.0,6.0,6.0,6.0,37.0,5.0
gpt-5,2,7,Formula 7,6.0,5.0,7.0,6.0,4.0,5.0,33.0,5.0
gpt-5,2,8,Formula 8,8.0,7.0,8.0,7.0,7.0,6.0,43.0,5.0
gpt-5,2,9,Formula 9,9.0,8.0,5.0,9.0,7.0,8.0,46.0,5.0
gpt-5,2,10,Formula 10,9.0,8.0,4.0,9.0,8.0,9.0,47.0,5.0
gpt-5,3,1,Formula 1,8.0,7.0,8.0,5.0,6.0,5.0,39.0,10.0
gpt-5,3,2,Formula 2,9.0,7.0,7.0,6.0,6.0,6.0,41.0,10.0
gpt-5,3,3,Formula 3,8.0,6.0,7.0,5.0,4.0,4.0,34.0,10.0
gpt-5,3,4,Formula 4,9.0,7.0,8.0,6.0,7.0,7.0,44.0,10.0
gpt-5,3,5,Formula 5,9.0,8.0,7.0,7.0,8.0,8.0,47.0,10.0
gpt-5,3,6,Formula 6,7.0,8.0,7.0,5.0,6.0,6.0,39.0,10.0
gpt-5,3,7,Formula 7,8.0,6.0,7.0,6.0,6.0,5.0,38.0,10.0
gpt-5,3,8,Formula 8,8.0,7.0,7.0,6.0,7.0,7.0,42.0,10.0
gpt-5,3,9,Formula 9,9.0,7.0,5.0,8.0,7.0,7.0,43.0,10.0
gpt-5,3,10,Formula 10,9.0,8.0,5.0,9.0,8.0,9.0,48.0,10.0
gpt-5,4,1,Formula 1 (Gel + GelMA),7.5,7.0,8.0,5.5,7.0,6.0,41.0,5.0
gpt-5,4,2,Formula 2 (PAM + Gel),8.5,8.0,7.0,6.0,6.5,6.0,42.0,5.0
gpt-5,4,3,Formula 3 (Chitosan + GelMA),7.5,7.0,7.0,7.0,5.5,3.5,37.5,5.0
gpt-5,4,4,Formula 4 (GelMA + Silk Fibroin),9.0,7.0,8.0,6.0,8.0,7.0,45.0,5.0
gpt-5,4,5,Formula 5 (GelMA + PEG),9.0,9.0,8.0,7.5,8.5,9.0,51.0,5.0
gpt-5,4,6,Formula 6 (Starch + GelMA),7.0,6.0,7.0,6.0,5.5,3.5,35.0,5.0
gpt-5,4,7,Formula 7 (Chitin + GelMA),8.0,6.5,6.5,5.0,4.5,3.5,34.0,5.0
gpt-5,4,8,Formula 8 (GelMA + Cellulose),9.0,8.0,8.0,6.0,7.5,8.0,46.5,5.0
gpt-5,4,9,Formula 9 (PAM + PVA),9.0,8.0,5.0,8.0,8.0,8.5,46.5,5.0
gpt-5,4,10,Formula 10 (PAM + PEG),9.0,9.0,4.5,8.5,8.5,9.0,48.5,5.0
gpt-5,5,1,Formula 1,8.0,7.0,9.0,4.0,6.0,5.5,39.5,
gpt-5,5,2,Formula 2,7.5,7.5,7.5,6.5,6.5,6.5,42.0,
gpt-5,5,3,Formula 3,7.0,6.0,7.0,5.0,4.5,3.5,33.0,
gpt-5,5,4,Formula 4,8.5,6.0,8.0,5.5,7.0,6.0,41.0,
gpt-5,5,5,Formula 5,9.0,8.5,8.0,7.5,8.5,8.5,50.0,
gpt-5,5,6,Formula 6,6.5,6.5,7.0,5.5,6.5,6.0,38.0,
gpt-5,5,7,Formula 7,6.5,5.5,7.0,5.0,4.0,4.5,32.0,
gpt-5,5,8,Formula 8,8.5,6.5,8.0,6.0,7.0,7.0,43.0,
gpt-5,5,9,Formula 9,9.0,8.0,5.5,8.5,8.0,8.5,47.5,
gpt-5,5,10,Formula 10,8.5,8.5,5.0,9.0,8.5,9.0,48.5,
gpt-5,6,1,Formula 1,8.0,7.0,9.0,5.0,7.0,6.0,42.0,5.0
gpt-5,6,2,Formula 2,8.0,6.0,7.0,6.0,6.0,7.0,40.0,5.0
gpt-5,6,3,Formula 3,8.0,6.0,7.0,6.0,5.0,4.0,36.0,5.0
gpt-5,6,4,Formula 4,8.0,6.0,8.0,6.0,8.0,8.0,44.0,5.0
gpt-5,6,5,Formula 5,8.0,8.0,8.0,8.0,9.0,9.0,50.0,5.0
gpt-5,6,6,Formula 6,7.0,6.0,6.0,5.0,5.0,6.0,35.0,5.0
gpt-5,6,7,Formula 7,7.0,6.0,5.0,5.0,4.0,5.0,32.0,5.0
gpt-5,6,8,Formula 8,8.0,7.0,8.0,7.0,9.0,8.0,47.0,5.0
gpt-5,6,9,Formula 9,8.0,6.0,4.0,7.0,9.0,8.0,42.0,5.0
gpt-5,6,10,Formula 10,8.0,6.0,4.0,8.0,9.0,9.0,44.0,5.0
gpt-5,7,1,Formula 1 (Gel + GelMA),8.0,7.0,9.0,5.0,6.0,5.0,40.0,5.0
gpt-5,7,2,Formula 2 (PAM + Gel),9.0,7.0,7.0,5.0,6.0,6.0,40.0,5.0
gpt-5,7,3,Formula 3 (Chitosan + GelMA),8.0,6.0,7.0,5.0,4.0,3.0,33.0,5.0
gpt-5,7,4,Formula 4 (GelMA + Silk Fibroin),9.0,7.0,8.0,6.0,8.0,7.0,45.0,5.0
gpt-5,7,5,Formula 5 (GelMA + PEG),9.0,9.0,8.0,8.0,9.0,9.0,52.0,5.0
gpt-5,7,6,Formula 6 (Starch + GelMA),7.0,6.0,7.0,5.0,6.0,6.0,37.0,5.0
gpt-5,7,7,Formula 7 (Chitin + GelMA),8.0,7.0,7.0,5.0,5.0,5.0,37.0,5.0
gpt-5,7,8,Formula 8 (GelMA + Cellulose),9.0,8.0,8.0,7.0,8.0,8.0,48.0,5.0
gpt-5,7,9,Formula 9 (PAM + PVA),9.0,8.0,5.0,8.0,8.0,8.0,46.0,5.0
gpt-5,7,10,Formula 10 (PAM + PEG),9.0,9.0,5.0,9.0,9.0,9.0,50.0,5.0
gpt-5,8,1,Formula 1 (Gel + GelMA),8.0,8.0,8.0,6.0,7.0,6.0,43.0,5.0
gpt-5,8,2,Formula 2 (PAM + Gel),8.0,8.0,7.0,6.0,6.0,6.0,41.0,5.0
gpt-5,8,3,Formula 3 (Chitosan + GelMA),8.0,7.0,6.0,5.0,4.0,3.0,33.0,5.0
gpt-5,8,4,Formula 4 (GelMA + Silk Fibroin),9.0,7.0,8.0,6.0,8.0,8.0,46.0,5.0
gpt-5,8,5,Formula 5 (GelMA + PEG),9.0,9.0,8.0,8.0,9.0,9.0,52.0,5.0
gpt-5,8,6,Formula 6 (Starch + GelMA),7.0,6.0,7.0,6.0,6.0,6.0,38.0,5.0
gpt-5,8,7,Formula 7 (Chitin + GelMA),8.0,6.0,6.0,5.0,4.0,4.0,33.0,5.0
gpt-5,8,8,Formula 8 (GelMA + Cellulose),9.0,7.0,8.0,7.0,8.0,8.0,47.0,5.0
gpt-5,8,9,Formula 9 (PAM + PVA),9.0,8.0,5.0,8.0,7.0,8.0,45.0,5.0
gpt-5,8,10,Formula 10 (PAM + PEG),9.0,9.0,4.0,9.0,8.0,9.0,48.0,5.0
gpt-5,9,1,Formula 1,8.0,7.0,8.0,4.0,7.0,5.0,39.0,5.0
gpt-5,9,2,Formula 2,8.0,6.0,6.0,5.0,6.0,6.0,37.0,5.0
gpt-5,9,3,Formula 3,8.0,6.0,7.0,5.0,4.0,4.0,34.0,5.0
gpt-5,9,4,Formula 4,9.0,6.0,8.0,4.0,6.0,6.0,39.0,5.0
