Model,Run,Formula,Formula_Name,Mechanical_Safety,Swelling_Performance,Endothelialization,SMC_inhibition,Anti_inflammation,Thrombogenicity,Total_Score,Winner
claude-opus-4-5-20251101,0,1,Formula 1,7.0,6.0,8.0,5.0,7.0,6.0,39.0,3
claude-opus-4-5-20251101,0,2,Formula 2,7.0,7.0,6.0,5.0,4.0,5.0,34.0,3
claude-opus-4-5-20251101,0,3,Formula 3,7.0,7.0,8.0,6.0,8.0,7.0,43.0,3
claude-opus-4-5-20251101,0,4,Formula 4,8.0,5.0,7.0,5.0,7.0,6.0,38.0,3
claude-opus-4-5-20251101,0,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,3
claude-opus-4-5-20251101,0,6,Formula 6,5.0,6.0,6.0,5.0,6.0,5.0,33.0,3
claude-opus-4-5-20251101,0,7,Formula 7,6.0,5.0,7.0,5.0,7.0,6.0,36.0,3
claude-opus-4-5-20251101,0,8,Formula 8,6.0,6.0,6.0,5.0,6.0,5.0,34.0,3
claude-opus-4-5-20251101,0,9,Formula 9,8.0,7.0,3.0,6.0,4.0,6.0,34.0,3
claude-opus-4-5-20251101,0,10,Formula 10,7.0,8.0,3.0,7.0,5.0,8.0,38.0,3
claude-opus-4-5-20251101,1,1,Formula 1,7.0,6.0,8.0,4.0,6.0,5.0,36.0,4
claude-opus-4-5-20251101,1,2,Formula 2,7.0,7.0,6.0,4.0,4.0,5.0,33.0,4
claude-opus-4-5-20251101,1,3,Formula 3,7.0,6.0,7.0,6.0,7.0,7.0,40.0,4
claude-opus-4-5-20251101,1,4,Formula 4,8.0,7.0,8.0,5.0,7.0,6.0,41.0,4
claude-opus-4-5-20251101,1,5,Formula 5,6.0,8.0,5.0,6.0,7.0,7.0,39.0,4
claude-opus-4-5-20251101,1,6,Formula 6,5.0,4.0,5.0,5.0,5.0,5.0,29.0,4
claude-opus-4-5-20251101,1,7,Formula 7,6.0,5.0,6.0,5.0,6.0,6.0,34.0,4
claude-opus-4-5-20251101,1,8,Formula 8,6.0,6.0,5.0,5.0,5.0,5.0,32.0,4
claude-opus-4-5-20251101,1,9,Formula 9,7.0,7.0,3.0,5.0,4.0,5.0,31.0,4
claude-opus-4-5-20251101,1,10,Formula 10,6.0,8.0,3.0,6.0,6.0,7.0,36.0,4
claude-opus-4-5-20251101,2,1,Formula 1,7.0,6.0,8.0,4.0,7.0,6.0,38.0,4
claude-opus-4-5-20251101,2,2,Formula 2,8.0,7.0,6.0,5.0,5.0,6.0,37.0,4
claude-opus-4-5-20251101,2,3,Formula 3,7.0,6.0,7.0,6.0,7.0,5.0,38.0,4
claude-opus-4-5-20251101,2,4,Formula 4,9.0,7.0,8.0,6.0,8.0,7.0,45.0,4
claude-opus-4-5-20251101,2,5,Formula 5,6.0,5.0,5.0,6.0,8.0,8.0,38.0,4
claude-opus-4-5-20251101,2,6,Formula 6,5.0,4.0,6.0,5.0,6.0,5.0,31.0,4
claude-opus-4-5-20251101,2,7,Formula 7,6.0,5.0,6.0,5.0,7.0,5.0,34.0,4
claude-opus-4-5-20251101,2,8,Formula 8,7.0,6.0,6.0,5.0,6.0,6.0,36.0,4
claude-opus-4-5-20251101,2,9,Formula 9,8.0,7.0,3.0,5.0,5.0,7.0,35.0,4
claude-opus-4-5-20251101,2,10,Formula 10,6.0,6.0,3.0,6.0,7.0,8.0,36.0,4
claude-opus-4-5-20251101,3,1,Formula 1,7.0,6.0,8.0,5.0,7.0,6.0,39.0,4
claude-opus-4-5-20251101,3,2,Formula 2,8.0,7.0,6.0,5.0,5.0,5.0,36.0,4
claude-opus-4-5-20251101,3,3,Formula 3,7.0,6.0,7.0,6.0,7.0,7.0,40.0,4
claude-opus-4-5-20251101,3,4,Formula 4,8.0,7.0,8.0,6.0,7.0,7.0,43.0,4
claude-opus-4-5-20251101,3,5,Formula 5,7.0,8.0,5.0,6.0,8.0,8.0,42.0,4
claude-opus-4-5-20251101,3,6,Formula 6,5.0,4.0,6.0,5.0,5.0,5.0,30.0,4
claude-opus-4-5-20251101,3,7,Formula 7,6.0,5.0,6.0,5.0,6.0,6.0,34.0,4
claude-opus-4-5-20251101,3,8,Formula 8,6.0,6.0,6.0,5.0,6.0,5.0,34.0,4
claude-opus-4-5-20251101,3,9,Formula 9,8.0,7.0,3.0,5.0,4.0,5.0,32.0,4
claude-opus-4-5-20251101,3,10,Formula 10,7.0,8.0,3.0,6.0,6.0,8.0,38.0,4
claude-opus-4-5-20251101,4,1,Formula 1,7.0,6.0,8.0,5.0,7.0,6.0,39.0,3
claude-opus-4-5-20251101,4,2,Formula 2,7.0,7.0,6.0,5.0,4.0,5.0,34.0,3
claude-opus-4-5-20251101,4,3,Formula 3,7.0,7.0,8.0,6.0,8.0,7.0,43.0,3
claude-opus-4-5-20251101,4,4,Formula 4,8.0,5.0,7.0,5.0,7.0,6.0,38.0,3
claude-opus-4-5-20251101,4,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,3
claude-opus-4-5-20251101,4,6,Formula 6,5.0,6.0,6.0,5.0,6.0,5.0,33.0,3
claude-opus-4-5-20251101,4,7,Formula 7,6.0,5.0,7.0,5.0,7.0,6.0,36.0,3
claude-opus-4-5-20251101,4,8,Formula 8,6.0,6.0,6.0,5.0,6.0,5.0,34.0,3
claude-opus-4-5-20251101,4,9,Formula 9,8.0,7.0,3.0,6.0,4.0,6.0,34.0,3
claude-opus-4-5-20251101,4,10,Formula 10,7.0,8.0,3.0,7.0,5.0,8.0,38.0,3
claude-opus-4-5-20251101,5,1,Formula 1,7.0,6.0,8.0,5.0,7.0,6.0,39.0,5
claude-opus-4-5-20251101,5,2,Formula 2,8.0,7.0,6.0,5.0,5.0,5.0,36.0,5
claude-opus-4-5-20251101,5,3,Formula 3,7.0,7.0,7.0,6.0,7.0,7.0,41.0,5
claude-opus-4-5-20251101,5,4,Formula 4,8.0,6.0,8.0,5.0,7.0,6.0,40.0,5
claude-opus-4-5-20251101,5,5,Formula 5,7.0,8.0,5.0,7.0,7.0,8.0,42.0,5
claude-opus-4-5-20251101,5,6,Formula 6,5.0,6.0,6.0,5.0,6.0,5.0,33.0,5
claude-opus-4-5-20251101,5,7,Formula 7,6.0,5.0,6.0,5.0,6.0,6.0,34.0,5
claude-opus-4-5-20251101,5,8,Formula 8,7.0,6.0,6.0,5.0,6.0,5.0,35.0,5
claude-opus-4-5-20251101,5,9,Formula 9,8.0,7.0,3.0,6.0,5.0,6.0,35.0,5
claude-opus-4-5-20251101,5,10,Formula 10,7.0,8.0,2.0,8.0,7.0,8.0,40.0,5
claude-opus-4-5-20251101,6,1,Formula 1,7.0,6.0,8.0,5.0,7.0,6.0,39.0,4
claude-opus-4-5-20251101,6,2,Formula 2,8.0,7.0,6.0,4.0,5.0,5.0,35.0,4
claude-opus-4-5-20251101,6,3,Formula 3,7.0,6.0,7.0,6.0,7.0,4.0,37.0,4
claude-opus-4-5-20251101,6,4,Formula 4,8.0,7.0,8.0,6.0,7.0,7.0,43.0,4
claude-opus-4-5-20251101,6,5,Formula 5,7.0,8.0,5.0,5.0,8.0,8.0,41.0,4
claude-opus-4-5-20251101,6,6,Formula 6,5.0,4.0,5.0,5.0,5.0,5.0,29.0,4
claude-opus-4-5-20251101,6,7,Formula 7,6.0,5.0,6.0,5.0,6.0,5.0,33.0,4
claude-opus-4-5-20251101,6,8,Formula 8,6.0,6.0,5.0,5.0,6.0,5.0,33.0,4
claude-opus-4-5-20251101,6,9,Formula 9,7.0,7.0,3.0,5.0,5.0,5.0,32.0,4
claude-opus-4-5-20251101,6,10,Formula 10,7.0,8.0,3.0,5.0,7.0,7.0,37.0,4
claude-opus-4-5-20251101,8,1,Formula 1,7.0,6.0,8.0,4.0,6.0,5.0,36.0,4
claude-opus-4-5-20251101,8,2,Formula 2,8.0,7.0,6.0,4.0,5.0,5.0,35.0,4
claude-opus-4-5-20251101,8,3,Formula 3,7.0,6.0,7.0,5.0,7.0,7.0,39.0,4
claude-opus-4-5-20251101,8,4,Formula 4,8.0,7.0,8.0,5.0,7.0,6.0,41.0,4
claude-opus-4-5-20251101,8,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,4
claude-opus-4-5-20251101,8,6,Formula 6,5.0,4.0,5.0,5.0,5.0,5.0,29.0,4
claude-opus-4-5-20251101,8,7,Formula 7,6.0,5.0,6.0,5.0,6.0,5.0,33.0,4
claude-opus-4-5-20251101,8,8,Formula 8,6.0,6.0,5.0,5.0,5.0,5.0,32.0,4
claude-opus-4-5-20251101,8,9,Formula 9,7.0,7.0,3.0,5.0,5.0,4.0,31.0,4
claude-opus-4-5-20251101,8,10,Formula 10,7.0,8.0,3.0,6.0,6.0,7.0,37.0,4
claude-opus-4-5-20251101,9,1,Formula 1,7.0,6.0,8.0,4.0,6.0,5.0,36.0,5
claude-opus-4-5-20251101,9,2,Formula 2,8.0,7.0,6.0,4.0,5.0,5.0,35.0,5
claude-opus-4-5-20251101,9,3,Formula 3,7.0,6.0,7.0,6.0,7.0,7.0,40.0,5
claude-opus-4-5-20251101,9,4,Formula 4,8.0,5.0,8.0,5.0,7.0,6.0,39.0,5
claude-opus-4-5-20251101,9,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,5
claude-opus-4-5-20251101,9,6,Formula 6,5.0,4.0,5.0,4.0,5.0,5.0,28.0,5
claude-opus-4-5-20251101,9,7,Formula 7,6.0,4.0,6.0,5.0,6.0,6.0,33.0,5
claude-opus-4-5-20251101,9,8,Formula 8,6.0,5.0,5.0,4.0,5.0,5.0,30.0,5
claude-opus-4-5-20251101,9,9,Formula 9,8.0,7.0,3.0,5.0,5.0,6.0,34.0,5
claude-opus-4-5-20251101,9,10,Formula 10,7.0,8.0,3.0,6.0,7.0,8.0,39.0,5
claude-opus-4-5-20251101,10,1,Formula 1,7.0,6.0,8.0,4.0,6.0,6.0,37.0,4
claude-opus-4-5-20251101,10,2,Formula 2,8.0,7.0,6.0,5.0,5.0,5.0,36.0,4
claude-opus-4-5-20251101,10,3,Formula 3,7.0,6.0,7.0,6.0,7.0,7.0,40.0,4
claude-opus-4-5-20251101,10,4,Formula 4,9.0,7.0,8.0,6.0,7.0,6.0,43.0,4
claude-opus-4-5-20251101,10,5,Formula 5,7.0,8.0,5.0,6.0,8.0,8.0,42.0,4
claude-opus-4-5-20251101,10,6,Formula 6,5.0,4.0,6.0,5.0,5.0,5.0,30.0,4
claude-opus-4-5-20251101,10,7,Formula 7,6.0,4.0,6.0,5.0,6.0,6.0,33.0,4
claude-opus-4-5-20251101,10,8,Formula 8,6.0,5.0,6.0,5.0,5.0,5.0,32.0,4
claude-opus-4-5-20251101,10,9,Formula 9,8.0,7.0,3.0,5.0,5.0,4.0,32.0,4
claude-opus-4-5-20251101,10,10,Formula 10,7.0,8.0,3.0,6.0,7.0,7.0,38.0,4
claude-opus-4-5-20251101,7,1,Formula 1,7.0,6.0,8.0,4.0,6.0,5.0,36.0,4
claude-opus-4-5-20251101,7,2,Formula 2,8.0,7.0,6.0,4.0,4.0,5.0,34.0,4
claude-opus-4-5-20251101,7,3,Formula 3,7.0,6.0,7.0,6.0,7.0,6.0,39.0,4
claude-opus-4-5-20251101,7,4,Formula 4,8.0,7.0,8.0,5.0,7.0,6.0,41.0,4
claude-opus-4-5-20251101,7,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,4
claude-opus-4-5-20251101,7,6,Formula 6,5.0,4.0,5.0,5.0,5.0,5.0,29.0,4
claude-opus-4-5-20251101,7,7,Formula 7,6.0,5.0,6.0,5.0,6.0,5.0,33.0,4
claude-opus-4-5-20251101,7,8,Formula 8,6.0,6.0,5.0,5.0,5.0,5.0,32.0,4
claude-opus-4-5-20251101,7,9,Formula 9,8.0,7.0,3.0,5.0,4.0,6.0,33.0,4
claude-opus-4-5-20251101,7,10,Formula 10,7.0,8.0,3.0,6.0,5.0,8.0,37.0,4
