Model,Run,Formula,Formula_Name,Mechanical_Safety,Swelling_Performance,Endothelialization,SMC_inhibition,Anti_inflammation,Thrombogenicity,Total_Score,Winner
gemini-3-pro-preview,0,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4
gemini-3-pro-preview,0,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4
gemini-3-pro-preview,0,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4
gemini-3-pro-preview,0,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4
gemini-3-pro-preview,0,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4
gemini-3-pro-preview,0,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4
gemini-3-pro-preview,0,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4
gemini-3-pro-preview,0,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4
gemini-3-pro-preview,0,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4
gemini-3-pro-preview,0,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4
gemini-3-pro-preview,1,1,Formula 1,6.0,6.0,9.0,5.0,7.0,4.0,37.0,4
gemini-3-pro-preview,1,2,Formula 2,8.0,7.0,5.0,5.0,4.0,5.0,34.0,4
gemini-3-pro-preview,1,3,Formula 3,7.0,6.0,7.0,5.0,5.0,2.0,32.0,4
gemini-3-pro-preview,1,4,Formula 4,9.0,8.0,9.0,7.0,8.0,7.0,48.0,4
gemini-3-pro-preview,1,5,Formula 5,5.0,4.0,5.0,7.0,8.0,9.0,38.0,4
gemini-3-pro-preview,1,6,Formula 6,4.0,4.0,6.0,5.0,5.0,5.0,29.0,4
gemini-3-pro-preview,1,7,Formula 7,7.0,6.0,6.0,5.0,5.0,2.0,31.0,4
gemini-3-pro-preview,1,8,Formula 8,8.0,7.0,6.0,5.0,3.0,6.0,35.0,4
gemini-3-pro-preview,1,9,Formula 9,8.0,7.0,3.0,7.0,4.0,8.0,37.0,4
gemini-3-pro-preview,1,10,Formula 10,7.0,5.0,2.0,8.0,4.0,9.0,35.0,4
gemini-3-pro-preview,2,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4
gemini-3-pro-preview,2,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4
gemini-3-pro-preview,2,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4
gemini-3-pro-preview,2,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4
gemini-3-pro-preview,2,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4
gemini-3-pro-preview,2,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4
gemini-3-pro-preview,2,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4
gemini-3-pro-preview,2,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4
gemini-3-pro-preview,2,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4
gemini-3-pro-preview,2,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4
gemini-3-pro-preview,3,1,Formula 1,6.0,6.0,9.0,5.0,7.0,4.0,37.0,4
gemini-3-pro-preview,3,2,Formula 2,8.0,7.0,5.0,5.0,4.0,5.0,34.0,4
gemini-3-pro-preview,3,3,Formula 3,7.0,6.0,7.0,5.0,5.0,2.0,32.0,4
gemini-3-pro-preview,3,4,Formula 4,9.0,8.0,9.0,7.0,8.0,7.0,48.0,4
gemini-3-pro-preview,3,5,Formula 5,5.0,4.0,5.0,7.0,8.0,9.0,38.0,4
gemini-3-pro-preview,3,6,Formula 6,4.0,4.0,6.0,5.0,5.0,5.0,29.0,4
gemini-3-pro-preview,3,7,Formula 7,7.0,6.0,6.0,5.0,5.0,2.0,31.0,4
gemini-3-pro-preview,3,8,Formula 8,8.0,7.0,6.0,5.0,3.0,6.0,35.0,4
gemini-3-pro-preview,3,9,Formula 9,8.0,7.0,3.0,7.0,4.0,8.0,37.0,4
gemini-3-pro-preview,3,10,Formula 10,7.0,5.0,2.0,8.0,4.0,9.0,35.0,4
gemini-3-pro-preview,4,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4
gemini-3-pro-preview,4,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4
gemini-3-pro-preview,4,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4
