Model,Run,Formula,Formula_Name,Mechanical_Safety,Swelling_Performance,Endothelialization,SMC_inhibition,Anti_inflammation,Thrombogenicity,Total_Score,Winner
grok-4,0,1,Formula 1,8.0,9.0,9.0,7.0,8.0,7.0,48.0,4
grok-4,0,2,Formula 2,8.0,8.0,7.0,6.0,7.0,6.0,42.0,4
grok-4,0,3,Formula 3,8.0,9.0,8.0,7.0,7.0,5.0,44.0,4
grok-4,0,4,Formula 4,9.0,8.0,9.0,8.0,9.0,8.0,51.0,4
grok-4,0,5,Formula 5,8.0,9.0,7.0,8.0,8.0,9.0,49.0,4
grok-4,0,6,Formula 6,7.0,9.0,8.0,6.0,8.0,7.0,45.0,4
grok-4,0,7,Formula 7,8.0,8.0,8.0,7.0,7.0,6.0,44.0,4
grok-4,0,8,Formula 8,8.0,7.0,7.0,7.0,8.0,7.0,44.0,4
grok-4,0,9,Formula 9,9.0,7.0,6.0,6.0,6.0,7.0,41.0,4
grok-4,0,10,Formula 10,8.0,8.0,6.0,7.0,7.0,9.0,45.0,4
grok-4,1,1,Formula 1,9.0,8.0,9.0,6.0,8.0,8.0,48.0,5
grok-4,1,2,Formula 2,9.0,9.0,7.0,6.0,6.0,7.0,44.0,5
grok-4,1,3,Formula 3,9.0,8.0,7.0,7.0,5.0,5.0,41.0,5
grok-4,1,4,Formula 4,9.0,8.0,9.0,7.0,9.0,9.0,51.0,5
grok-4,1,5,Formula 5,9.0,9.0,8.0,8.0,9.0,9.0,52.0,5
grok-4,1,6,Formula 6,8.0,9.0,7.0,6.0,7.0,7.0,44.0,5
grok-4,1,7,Formula 7,8.0,7.0,7.0,6.0,5.0,6.0,39.0,5
grok-4,1,8,Formula 8,9.0,7.0,7.0,6.0,8.0,8.0,45.0,5
grok-4,1,9,Formula 9,9.0,9.0,4.0,7.0,6.0,7.0,42.0,5
grok-4,1,10,Formula 10,9.0,9.0,4.0,8.0,8.0,9.0,47.0,5
grok-4,2,1,Formula 1,9.0,9.0,9.0,8.0,9.0,8.0,52.0,4
grok-4,2,2,Formula 2,8.0,8.0,7.0,7.0,6.0,7.0,43.0,4
grok-4,2,3,Formula 3,8.0,9.0,7.0,7.0,5.0,4.0,40.0,4
grok-4,2,4,Formula 4,10.0,9.0,9.0,9.0,9.0,9.0,55.0,4
grok-4,2,5,Formula 5,9.0,9.0,6.0,8.0,9.0,9.0,50.0,4
grok-4,2,6,Formula 6,7.0,7.0,7.0,7.0,8.0,7.0,43.0,4
grok-4,2,7,Formula 7,8.0,8.0,7.0,7.0,6.0,5.0,41.0,4
grok-4,2,8,Formula 8,9.0,7.0,8.0,8.0,8.0,8.0,48.0,4
grok-4,2,9,Formula 9,9.0,8.0,4.0,5.0,5.0,6.0,37.0,4
grok-4,2,10,Formula 10,9.0,9.0,4.0,5.0,8.0,9.0,44.0,4
grok-4,3,1,Formula 1,9.0,8.0,9.0,5.0,8.0,8.0,47.0,3
grok-4,3,2,Formula 2,9.0,8.0,8.0,5.0,7.0,7.0,44.0,3
grok-4,3,3,Formula 3,8.0,9.0,9.0,9.0,8.0,8.0,51.0,3
grok-4,3,4,Formula 4,9.0,8.0,9.0,6.0,9.0,8.0,49.0,3
grok-4,3,5,Formula 5,8.0,9.0,7.0,6.0,8.0,9.0,47.0,3
grok-4,3,6,Formula 6,7.0,10.0,8.0,5.0,7.0,7.0,44.0,3
grok-4,3,7,Formula 7,8.0,8.0,8.0,8.0,7.0,7.0,46.0,3
grok-4,3,8,Formula 8,9.0,6.0,8.0,5.0,8.0,8.0,44.0,3
grok-4,3,9,Formula 9,10.0,7.0,5.0,6.0,7.0,8.0,43.0,3
grok-4,3,10,Formula 10,9.0,9.0,4.0,7.0,8.0,10.0,47.0,3
grok-4,4,1,Formula 1,9.0,9.0,9.0,8.0,8.0,8.0,51.0,4
grok-4,4,2,Formula 2,8.0,9.0,7.0,6.0,6.0,7.0,43.0,4
