SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Source
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,[*]OCC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,5.698970004336019,GelMA¸´ºÏË®Äý½ºµÄÖÆ±¸ÓëÐÔÄÜ-ÀîæÂæÂ.pdf
C/C(C[*])=C/C[*],,,3.049218022670181,10.1002_pc.22242_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],,2.903089986991944,10.1134_s0965545x13020119_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],COC(C(C[*])([*])C)=O,,2.9542425094393248,10.1177_0021998316689721_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,3.90848501887865,10.1080_00218464.2019.1707674_part_2.txt_¶Î1_Material1
C/C(C[*])=C/C[*],O=C1CCCN1C([*])C[*],,3.322219294733919,10.1088_1757-899x_801_1_012091_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,5.301029995663981,10.1007_s10570-021-04082-4_part_2.txt_¶Î1_Material1
C/C(C[*])=C/C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,4.086359830674748,10.1002_mame.201000444_part_2.txt_¶Î1_Material1
C/C(C[*])=C/C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,6.035709837827862,10.3390_polym13030468_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]C(C)C[*],,5.954242509439325,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_¶Î1_Material3
C/C(C[*])=C/C[*],[*]C(C)C[*],[*]C(C)C[*],3.949390006644913,10.7454_mst.v17i3.2926_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]C(CCCCCO[*])=O,,5.742725131304698,10.1016_j.polymertesting.2017.04.024_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,3.661812685537261,10.4028_www.scientific.net_amr.844.93_part_1.txt_¶Î1_Material4
C/C(C[*])=C/C[*],[*]C([H])([H])C(O)([H])[*],,3.505149978319906,10.5254_1.3673424_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,5.0948203803548,10.1016_j.compositesa.2021.106601_part_2.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,3.397940008672037,10.1063_5.0017936_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CC([*])Cl,,3.832508912706236,10.1002_app.38997_part_1.txt_¶Î1_Material2
C/C(C[*])=C/C[*],[*]CC([*])Cl,[*]CC=CCCC(C#N)[*],5.6020599913279625,10.1088_1757-899x_509_1_012146_part_2.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CC=CCCC(C#N)[*],,5.238046103128795,10.1016_j.polymer.2018.10.012_part_3.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CC=CCCC(C1=CC=CC=C1)[*],,3.0791812460476247,10.4028_www.scientific.net_msf.695.332_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CC=CCCC(C1=CC=CC=C1)[*],C/C(C[*])=C/C[*],3.823474229170301,10.1002_pc.22489_part_2.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CCCC(C(O)=O)[*],[*]C(CCCCCO[*])=O,3.838849090737255,10.1016_j.eurpolymj.2021.110488_part_1.txt_¶Î1_Material2
C/C(C[*])=C/C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,,3.505149978319906,10.1080_1023666x.2015.1050905_part_2.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CCCC([*])OC(C)=O,,6.041392685158225,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_¶Î1_Material5
C/C(C[*])=C/C[*],[*]CCN[*],,3.8813846567705728,10.1007_s10118-016-1794-4_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]CC[*],,5.576341350205793,10.1177_096739111602400913_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,6.823539433656859,10.1016_j.polymer.2015.06.045_part_4.txt_¶Î1_Material1
CC(C=C([*])C=C1C)=C1O[*],,,6.3979400086720375,10.1039_c3py00005b_part_1.txt_¶Î1_Material9
