idx,y_pred,y_true,residual
0,5.091701,5.698970,-0.607269
1,3.912088,3.049218,0.862870
2,3.911930,2.903090,1.008840
3,4.973768,2.954243,2.019526
4,5.269653,3.908485,1.361168
5,4.681379,3.322219,1.359160
6,4.824771,5.301030,-0.476259
7,5.171911,4.086360,1.085551
8,5.228623,6.035710,-0.807086
9,5.030673,5.954243,-0.923569
10,5.521629,3.949390,1.572239
11,4.482045,5.742725,-1.260680
12,4.221932,3.661813,0.560119
13,4.857340,3.505150,1.352190
14,4.298269,5.094820,-0.796551
15,4.823216,3.397940,1.425276
16,5.063114,3.832509,1.230605
17,5.460473,5.602060,-0.141587
18,4.184908,5.238046,-1.053138
19,3.936276,3.079181,0.857095
20,3.573471,3.823474,-0.250003
21,4.310499,3.838849,0.471650
22,4.334142,3.505150,0.828992
23,4.778391,6.041393,-1.263002
24,5.233868,3.881385,1.352483
25,5.109237,5.576341,-0.467104
26,6.520220,6.823539,-0.303319
27,6.509551,6.397940,0.111611
28,6.328454,6.707570,-0.379117
29,6.735060,6.397940,0.337120
30,5.661448,6.558709,-0.897261
31,5.661289,6.107549,-0.446260
32,5.576609,4.193681,1.382928
33,6.253812,5.929419,0.324393
34,6.142252,6.531479,-0.389227
35,6.340871,6.414973,-0.074103
36,6.189294,6.372912,-0.183618
37,6.382137,6.384891,-0.002754
38,5.926860,6.325844,-0.398984
39,7.479332,7.000000,0.479332
40,6.639694,6.875061,-0.235368
41,6.592106,6.835056,-0.242950
42,6.844545,7.079181,-0.234636
43,5.530261,4.072985,1.457276
44,5.584706,5.113943,0.470762
45,4.111694,5.096910,-0.985216
46,5.349451,5.342423,0.007028
47,6.028790,6.240549,-0.211759
48,4.333498,5.278754,-0.945255
49,5.958929,6.255273,-0.296343
50,5.215630,5.023541,0.192090
51,5.736085,6.313867,-0.577783
52,6.161436,6.361728,-0.200292
53,6.226617,6.602060,-0.375443
55,6.226300,6.041393,0.184907
56,5.536909,5.901295,-0.364386
57,5.276796,6.447158,-1.170362
59,6.079207,5.815046,0.264161
60,5.287243,4.992819,0.294424
61,4.185067,3.204120,0.980947
62,6.155172,6.875061,-0.719889
64,6.289524,6.000000,0.289524
65,5.119292,4.500374,0.618919
66,5.437553,6.397940,-0.960387
67,6.269049,6.447158,-0.178109
68,5.568244,7.267172,-1.698928
69,5.863031,5.045714,0.817317
70,6.203542,6.230449,-0.026907
71,4.175806,4.127105,0.048701
72,6.041517,6.000000,0.041517
73,6.683361,5.715167,0.968194
74,6.111624,6.024046,0.087577
75,2.634085,3.645422,-1.011337
76,4.293431,3.146128,1.147303
77,2.633768,2.875061,-0.241293
78,3.516059,3.301030,0.215029
79,4.036513,3.313867,0.722645
80,4.527203,5.905796,-1.378593
82,3.577700,4.146128,-0.568428
83,3.351146,3.243038,0.108108
84,4.033719,2.653213,1.380507
85,4.379952,2.108903,2.271049
87,4.178667,3.301030,0.877637
88,4.455918,3.000000,1.455918
89,4.431364,4.431364,0.000000
90,4.141123,4.423246,-0.282123
