fold,R2,RMSE,MAE
1,0.31495404939304816,0.8252406480738123,0.647545292779445
2,0.5111981974110217,0.8890672689535473,0.6419769104539584
3,0.5150384372783278,0.9248577852063773,0.7065318376724318
4,0.5336251566763877,0.8608274809204696,0.6339886926485764
5,0.46182217178026297,0.9354236058927162,0.688849818997312
6,0.590852088645319,0.8535494460055845,0.6473348966675717
7,0.539131476931095,0.7543231141258817,0.5793508866427481
8,0.5545936454563232,0.8438449064847229,0.6079590885945436
9,0.4098995938653487,0.8547919268390561,0.6753673255075421
10,0.5168323474397079,0.8463775285022487,0.6661905733788885
