fold,R2,RMSE,MAE
1,0.7162061208398495,0.6633094377748975,0.4946912971209723
2,0.7099120557623881,0.6555612452327351,0.49715911739052865
3,0.7039564534009219,0.6584418178630114,0.4939447980046811
4,0.7054148689399193,0.6612924597643625,0.49510179878306865
5,0.7108101068991393,0.6543446038533982,0.4936365852269612
6,0.7008455289325106,0.6616306042422642,0.4970981407391326
7,0.7020288699379984,0.673648027924941,0.5029756388091653
8,0.6973182757977914,0.6700649105314872,0.5049708578207077
9,0.7131035863266093,0.6611038758591449,0.49433382232112183
10,0.7052680154118605,0.664088701914936,0.49806605177306273
