feature,importance
fp_140,0.02857554803420363
fp_726,0.014915360034069347
fp_849,0.013043086308967592
fp_269,0.011931342322196947
fp_623,0.01185939968665665
fp_997,0.011477013637785896
fp_929,0.01142656585988592
fp_22,0.008412358514056084
fp_545,0.007071831614148409
fp_722,0.0065952954998031625
fp_247,0.006444406597281849
fp_273,0.006371815916687784
fp_356,0.006031626040075603
fp_197,0.005191149540734667
fp_960,0.0036261870592667242
fp_645,0.0034621383752759063
fp_9,0.0034592386326102176
fp_33,0.0034194648326636803
fp_734,0.003288930433223832
fp_94,0.003238089667024916
fp_80,0.002951514404361699
fp_852,0.002438673265079072
fp_156,0.0020678152910515632
fp_283,0.0018276654139664321
fp_264,0.001781683003181711
fp_155,0.0017176883774811709
fp_926,0.0016671379353067062
fp_432,0.0016427368914132916
fp_1017,0.0014699976758287454
fp_996,0.0013123203057160044
fp_266,0.0012597155321261895
fp_352,0.0012003343969229086
fp_1019,0.0011011307330049218
fp_242,0.0010821715965443346
fp_355,0.0010448385869315329
fp_428,0.0010076806869599626
fp_590,0.0008936739045262895
fp_463,0.0008864681605066002
fp_753,0.0008556363706488194
fp_494,0.0008391852454427232
fp_147,0.0008347344577350757
fp_781,0.000809577857279605
fp_893,0.0007926114939105592
fp_904,0.0007612727312675815
fp_931,0.0007420330239716518
fp_202,0.0007151824756949088
fp_53,0.0006897736103104549
fp_877,0.0006721915094921963
fp_492,0.0006638026186374102
fp_807,0.0006526319918101301
fp_531,0.000650642553765938
fp_332,0.0006425086038570985
fp_233,0.0006305342716639295
fp_486,0.0006294805846455512
fp_361,0.0006129870074547868
fp_731,0.0006062080832093253
fp_869,0.0005629451431300078
fp_658,0.000532079934803568
fp_271,0.0005257795198822338
fp_183,0.0005052546013506095
fp_245,0.0005013257483946024
fp_820,0.0004883621031927706
fp_587,0.0004767877289404421
fp_172,0.0004736803757744064
fp_610,0.0004720210460276893
fp_584,0.00046061510489192603
fp_357,0.0004593082795017282
fp_208,0.00045538420535636465
fp_488,0.00045022728070117274
fp_240,0.0004260893984739574
fp_276,0.00042508699886245616
fp_226,0.0004150736002235256
