n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,R2_train,R2_valid
300,10,12,2,0.1,0.6201965957448239,0.3997831387784022
300,10,12,2,0.2,0.6371674837591091,0.4080587493870099
300,10,12,4,0.1,0.599380406789541,0.403541444686047
300,10,12,4,0.2,0.6196005709497627,0.41085696129997995
300,10,16,2,0.1,0.6109611210174719,0.40068093475429445
300,10,16,2,0.2,0.6269931318864246,0.41050577176461256
300,10,16,4,0.1,0.5911130623040709,0.4019378913883057
300,10,16,4,0.2,0.6091055449758374,0.41073973649421425
300,15,12,2,0.1,0.6842599289785498,0.4255403205198923
300,15,12,2,0.2,0.7005463686063927,0.4263732138700954
300,15,12,4,0.1,0.6494903794504715,0.42338791575233636
300,15,12,4,0.2,0.6701514159536999,0.4362898008616216
300,15,16,2,0.1,0.6684996337624565,0.4211942645189596
300,15,16,2,0.2,0.6840465550666504,0.4272572632784488
300,15,16,4,0.1,0.6383916304484054,0.4249352447728242
300,15,16,4,0.2,0.6565146274990884,0.4292298048422468
300,20,12,2,0.1,0.715301639630513,0.4310733931130817
300,20,12,2,0.2,0.732519102570039,0.4303826099628475
300,20,12,4,0.1,0.6734157096716076,0.43044141353807397
300,20,12,4,0.2,0.6953940944424846,0.4371709627914496
300,20,16,2,0.1,0.6976031407627719,0.43025240017511235
300,20,16,2,0.2,0.7137222665372327,0.4329349223169814
300,20,16,4,0.1,0.6604976234739177,0.4292188490809219
300,20,16,4,0.2,0.6804645463508058,0.4378085381693483
300,25,12,2,0.1,0.7321367871319975,0.4290409750013575
300,25,12,2,0.2,0.7491048948689997,0.4342915759170899
300,25,12,4,0.1,0.6853975877136771,0.4292162846171218
300,25,12,4,0.2,0.7073074843539453,0.44082614306754053
300,25,16,2,0.1,0.7145112887986944,0.43306896259670047
300,25,16,2,0.2,0.729816965505341,0.4336638643436437
300,25,16,4,0.1,0.6705426535753545,0.4287708744149421
300,25,16,4,0.2,0.6911009826214164,0.43543261265513
400,10,12,2,0.1,0.6195159633216794,0.3989802006595159
400,10,12,2,0.2,0.63720250833297,0.40845085491122557
400,10,12,4,0.1,0.5982719915902606,0.4039418055505779
400,10,12,4,0.2,0.6187054463487873,0.4107710423805666
400,10,16,2,0.1,0.6101117346986857,0.4003815252560877
400,10,16,2,0.2,0.6267254320899117,0.41056392368000316
400,10,16,4,0.1,0.5899001265782335,0.40176812500360515
400,10,16,4,0.2,0.6087197231504026,0.410478516126502
400,15,12,2,0.1,0.6827542905263595,0.42576509390924955
400,15,12,2,0.2,0.7003599436041006,0.42513454240824
400,15,12,4,0.1,0.6489145187405799,0.4231995962401909
400,15,12,4,0.2,0.6696497473807936,0.4352359311831909
400,15,16,2,0.1,0.6675065694021252,0.42182908507840644
400,15,16,2,0.2,0.6840445454899741,0.4272305360075924
400,15,16,4,0.1,0.6374727699768239,0.42667428150939546
400,15,16,4,0.2,0.6561192119647514,0.4292514715895188
400,20,12,2,0.1,0.7147132075726726,0.4311423652141938
400,20,12,2,0.2,0.731802952063419,0.4322359223249338
400,20,12,4,0.1,0.6726189213889642,0.4310565352942737
400,20,12,4,0.2,0.6947810223114863,0.4371008639261954
400,20,16,2,0.1,0.6976805878463513,0.4285879029334616
400,20,16,2,0.2,0.7133311087619949,0.43346497387558713
400,20,16,4,0.1,0.6598444985510583,0.428499244114936
400,20,16,4,0.2,0.6797945905673315,0.43678456825809975
400,25,12,2,0.1,0.7319047687632867,0.4281083599757386
400,25,12,2,0.2,0.7483961327471222,0.43483473117173677
400,25,12,4,0.1,0.685132563174031,0.4293528591630349
400,25,12,4,0.2,0.7069281357079062,0.4404339294731321
400,25,16,2,0.1,0.7139581966118056,0.4348325667248545
400,25,16,2,0.2,0.7298298386212951,0.43454837845500094
400,25,16,4,0.1,0.6702621549548863,0.4296716012929146
400,25,16,4,0.2,0.6905178589243057,0.43613366627831596
600,10,12,2,0.1,0.6196165701941863,0.3993553219441365
600,10,12,2,0.2,0.6368126312830615,0.4072149616403301
600,10,12,4,0.1,0.5981789753377516,0.4051230231340244
600,10,12,4,0.2,0.6185085442627964,0.41286305296783843
600,10,16,2,0.1,0.6103565297174086,0.4005630696218728
600,10,16,2,0.2,0.6264329871007817,0.4089764639200756
600,10,16,4,0.1,0.5896896225422126,0.40448985652310177
600,10,16,4,0.2,0.608599982392503,0.4101684201136674
600,15,12,2,0.1,0.6836853219285182,0.4213329116625557
600,15,12,2,0.2,0.7001151623712601,0.4248686314433717
600,15,12,4,0.1,0.6492264950340803,0.42400942237633554
600,15,12,4,0.2,0.6696416509516732,0.4328911205342675
600,15,16,2,0.1,0.66866696736742,0.42057160880895716
600,15,16,2,0.2,0.6841210554337938,0.4253743665279438
600,15,16,4,0.1,0.638452939436485,0.4252280888306178
600,15,16,4,0.2,0.6565625854741739,0.42882206565421643
600,20,12,2,0.1,0.7152485626168608,0.42884884461763484
600,20,12,2,0.2,0.7322081753975065,0.42955605769796756
600,20,12,4,0.1,0.6733048636791474,0.43045478987635444
600,20,12,4,0.2,0.6946245617107705,0.43598870941120516
