fold,R2,RMSE,MAE
1,0.19935319697709808,0.8921569162894907,0.6911584813359868
2,0.466869850173236,0.9285062777064005,0.6891662441121537
3,0.5248235209234207,0.9154797978679118,0.6955722328185392
4,0.4626634787937691,0.9239995175729795,0.6786894838546917
5,0.4069068664369877,0.9819895642631091,0.7175997917537825
6,0.54489729191374,0.9002087406492706,0.6885628659510228
7,0.4400264691341714,0.8314815971158385,0.6278567624785739
8,0.3808598076767743,0.99489884754116,0.6484887771536889
9,0.26234554515041686,0.9557051796844089,0.7194108065845507
10,0.48099932989528116,0.877201080513418,0.6771839628152923
