fold,R2,RMSE,MAE
1,0.6000399958811551,0.7874499259820104,0.5836421674557
2,0.5658550507053772,0.801984191747057,0.6055464101361945
3,0.6188123198299668,0.7471521216779429,0.563182379244929
4,0.5731465890708343,0.7960265217626844,0.591244638282916
5,0.5518980614928188,0.8145230546071219,0.6206025965141003
6,0.5992938051177756,0.7657391730393546,0.5757270084127033
7,0.5643811618582573,0.8145153531180279,0.6092290125164767
8,0.6344743359013625,0.7363473251012919,0.5490861056710818
9,0.518795156043194,0.8561939186584271,0.6415062060855471
10,0.5085965705029374,0.8574949064686462,0.6417466572853566
