fold,R2,RMSE,MAE
1,0.22425424089149726,0.878173777300123,0.6717774232656841
2,0.45228080629866463,0.941124767033126,0.6782756771741163
3,0.491384193051986,0.9471444615330892,0.7011578305765267
4,0.3989278375230967,0.977263935967855,0.6808406859252178
5,0.3880541015610284,0.9974748138441211,0.7359754762848116
6,0.4639276999611712,0.9770126773698721,0.7175407179382907
7,0.4536901352067073,0.8212746416794094,0.6213896977600365
8,0.43619822455579804,0.9493965484526222,0.6771173115503842
9,0.33070694768649134,0.9103441660914091,0.685843130128093
10,0.40586868114276975,0.9385478556724854,0.7002102509634779
