fold,R2,RMSE,MAE
1,0.6039559572787389,0.7835855289080285,0.5397692458338637
2,0.5978042998774586,0.771910845600635,0.5393379788868862
3,0.5896038972951114,0.7752490094491018,0.5380717991325935
4,0.5945385207855567,0.7758235525115367,0.5391759865152923
5,0.5962935274118,0.7731216340123886,0.5358058910989598
6,0.5900324109688163,0.7745377660106403,0.5384912062722862
7,0.5938938399906084,0.7864402585318324,0.5442329606180882
8,0.5872644145543369,0.7824556546559832,0.5432366561593733
9,0.596293302144778,0.7842239853834861,0.5421581799229465
10,0.5898020368026549,0.7834462520343352,0.5408920452057245
