SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Swelling Ratio (times),Source,Young's Modulus (kPa)
C/C(C[*])=C/C[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,3.661812685537261,,10.4028_www.scientific.net_amr.844.93_part_1.txt_段1_Material4,4589.999999999997
COC(C(C[*])([*])C)=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,6.447158031342219,,10.1016_j.wear.2017.11.024_part_1.txt_段1_Material1,2800000.0000000014
C[Si](O[*])(C)[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,4.146128035678238,,10.1038_s41427-024-00546-8_OA_part_1.txt_段1_Material1,14000.000000000004
O=C([*])C(C)O[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,6.15839265038712,,10.1007_s10570-018-2061-3_part_4.txt_段1_Material1,1440100.0000000012
O=C([*])CCCCCN[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,4.742725131304698,,10.1007_s10965-011-9764-6_part_1.txt_段1_Material1,55299.99999999995
OCC1OC(C(C(C1O[*])O)O)[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,5.507855871695831,,10.1007_s10570-011-9623-y_part_1.txt_段1_Material1,322000.00000000023
[*]C(C)C[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,4.153204900084284,,10.1021_la4023079_part_1.txt_段1_Material1,14229.999999999993
[*]C(CCCCCO[*])=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,4.4048337166199385,,10.1002_app.38408_part_1.txt_段1_Material1,25400.000000000025
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C/C(C[*])=C/C[*],,4.643452676486188,,10.1007_s13233-014-2077-y_part_1.txt_段1_Material2,44000.00000000005
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,CCCCCCC1=C(SC([*])=C1)[*],,5.811709026696192,,10.1002_app.38397_part_2.txt_段1_Material2,648200.0000000019
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,COC(C(C[*])([*])C)=O,,4.887054378050957,,10.1016_j.compscitech.2013.08.011_part_1.txt_段1_Material1,77099.99999999997
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C[Si](C)(C[*])O[*],,3.857332496431269,,10.5254_rct.15.84885_part_1.txt_段1_Material1,7200.000000000008
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C[Si](O[*])(C)[*],,3.792391689498254,,10.4236_ojsta.2015.43005_OA_part_3.txt_段1_Material1,6200.0
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C(O)C([*])C[*],,4.382017042574868,,10.1016_j.polymer.2013.07.005_part_2.txt_段1_Material1,24100.0
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C([*])C(C)O[*],,6.079181246047625,,10.1088_1361-665x_aab417_part_2.txt_段1_Material1,1200000.0000000007
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C1CCCN1C([*])C[*],,3.8790958795000727,,10.1016_j.matdes.2013.11.029_part_1.txt_段1_Material1,7569.999999999999
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C(C)C[*],,6.079181246047625,,10.4028_www.scientific.net_amr.849.121_part_1.txt_段1_Material1,1200000.0000000007
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C(CCCCCO[*])=O,,4.495544337546448,,10.1177_0095244314568691_part_3.txt_段1_Material3,31299.99999999999
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,6.102135154272175,,10.1002_app.41849_part_2.txt_段1_Material1,1265130.000000001
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C(OCCCO[*])=O,,3.462397997898956,,10.1021_bm2007218_part_2.txt_段1_Material2,2900.0
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,6.049218022670182,,10.1002_app.51014_part_2.txt_段1_Material3,1120000.000000001
