SMILES,Count
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,62
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,9
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,6
[*]C([H])([H])C(O)([H])[*],4
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,4
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,4
[*]OCC[*],3
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,3
O=C(C(C[*])[*])N,3
OC1C(OC(C(C1O)O)[*])CO[*],3
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,3
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,2
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,2
[*]NC(C(O)=O)CCC([*])=O,2
[*]C(CCCCCO[*])=O,2
[*]C(C)C(OCC(O[*])=O)=O,2
O=C(N([*])C([*])=O)CC=C,2
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,2
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,2
O=C(N)C([*])C[*],2
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],1
CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O,1
[*]NC(CCC([*])=O)C(O)=O,1
[*]C(C)(C(OCCN(C)C)=O)C[*],1
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,1
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,1
O=C([*])C(C)O[*],1
COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],1
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],1
COC(C(C[*])([*])C)=O,1
[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,1
[*]CC(C)(C(OCCO)=O)[*],1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,1
O=C([*])CCCCCO[*],1
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,1
O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],1
